assessor,respondent,criterion 1,criterion 2,criterion 3,criterion 4,criterion 5,criterion 6,criterion 7,criterion 8,criterion 9,average,Arena
7,14,5,5,5,5,5,5,5,5,5,"5,00",1207
7,15,5,5,5,5,5,5,5,5,5,"5,00",1207
7,16,5,2,5,4,4,4,5,4,4,"4,11",1207
8,1,5,4,5,4,4,5,5,4,4,"4,44",1200
8,2,5,5,5,4,4,5,5,4,4,"4,56",1200
8,3,5,4,5,4,4,5,5,4,4,"4,44",1200
8,4,5,5,5,4,4,5,5,4,4,"4,56",1200
8,5,5,5,5,4,4,5,5,4,4,"4,56",1200
8,6,5,5,5,4,4,5,5,4,4,"4,56",1200
8,7,5,5,5,4,4,5,5,4,4,"4,56",1200
8,8,5,5,5,4,4,5,5,4,4,"4,56",1200
8,9,5,5,5,4,4,5,5,4,4,"4,56",1200
8,10,5,5,5,4,4,5,5,4,4,"4,56",1200
8,11,5,4,5,4,4,5,5,4,4,"4,44",1200
8,12,5,5,5,4,4,5,5,4,4,"4,56",1200
8,13,5,5,5,4,4,5,5,4,4,"4,56",1200
8,14,5,5,5,4,4,5,5,4,4,"4,56",1200
8,15,5,5,5,4,4,5,5,4,4,"4,56",1200
8,16,5,5,5,4,5,5,5,5,5,"4,89",1200
9,1,5,4,4,5,4,4,4,4,5,"4,33",1190
9,2,4,4,4,5,4,3,4,4,4,"4,00",1190
9,3,4,4,4,5,4,3,4,4,4,"4,00",1190
9,4,5,4,4,5,4,4,5,4,5,"4,44",1190
9,5,4,4,4,4,4,4,5,4,4,"4,11",1190
9,6,4,4,4,4,4,4,5,4,4,"4,11",1190
9,7,4,4,4,4,4,4,5,4,4,"4,11",1190
9,8,4,4,4,4,4,4,5,4,4,"4,11",1190
9,9,4,4,4,4,4,4,5,4,4,"4,11",1190
9,10,4,4,4,4,4,4,5,4,4,"4,11",1190
9,11,4,4,4,4,4,4,4,4,4,"4,00",1190
9,12,4,4,4,4,4,4,5,4,4,"4,11",1190
9,13,5,4,4,4,4,4,4,4,4,"4,11",1190
9,14,4,4,4,5,4,4,4,4,4,"4,11",1190
9,15,4,4,5,4,3,4,5,4,4,"4,11",1190
9,16,5,5,5,5,4,4,5,5,4,"4,67",1190
10,1,4,5,5,5,5,5,5,5,5,"4,89",1188
10,2,4,4,5,5,4,5,5,5,5,"4,67",1188
10,3,4,5,5,5,5,4,5,5,5,"4,78",1188
10,4,4,4,5,5,5,5,5,5,5,"4,78",1188
10,5,4,5,5,5,5,4,5,5,5,"4,78",1188
10,6,4,4,5,5,5,5,5,5,5,"4,78",1188
10,7,4,4,5,5,5,5,5,5,5,"4,78",1188
10,8,4,4,5,5,5,5,5,5,5,"4,78",1188
10,9,4,4,5,5,5,5,5,5,5,"4,78",1188
10,10,4,4,5,5,5,5,5,5,5,"4,78",1188
10,11,4,4,5,5,5,5,5,5,5,"4,78",1188
10,12,4,4,5,5,5,5,5,5,5,"4,78",1188
10,13,4,4,5,5,5,5,5,5,5,"4,78",1188
10,14,4,4,5,5,5,5,5,5,5,"4,78",1188
10,15,4,4,5,5,5,5,5,5,5,"4,78",1188
10,16,4,4,5,5,5,5,5,5,5,"4,78",1188
11,1,4,5,4,5,4,5,4,5,5,"4,56",1179
11,2,4,4,5,4,4,4,4,5,4,"4,22",1179
11,3,4,4,5,3,4,4,4,4,4,"4,00",1179
11,4,5,4,5,4,4,5,5,5,5,"4,67",1179
11,5,4,4,5,4,4,4,4,4,4,"4,11",1179
11,6,4,4,5,4,4,4,4,4,4,"4,11",1179
11,7,4,4,5,4,4,5,4,4,4,"4,22",1179
11,8,4,4,5,4,4,4,4,4,4,"4,11",1179
11,9,4,4,5,4,4,4,4,4,4,"4,11",1179
11,10,4,4,5,4,4,4,4,4,4,"4,11",1179
11,11,4,4,5,4,4,4,4,4,4,"4,11",1179
11,12,4,4,5,4,4,4,4,4,4,"4,11",1179
11,13,4,4,5,4,4,4,4,4,4,"4,11",1179
11,14,4,4,5,4,4,4,4,4,4,"4,11",1179
11,15,4,4,5,4,4,4,4,4,4,"4,11",1179
11,16,5,4,5,4,4,5,5,5,5,"4,67",1179
12,1,5,4,5,4,5,4,4,5,5,"4,56",1157
12,2,5,4,4,5,5,4,5,4,4,"4,44",1157
12,3,5,4,4,4,4,5,4,5,4,"4,33",1157
12,4,5,3,4,4,4,4,4,4,4,"4,00",1157
12,5,4,4,4,4,4,4,3,4,4,"3,89",1157
12,6,5,4,5,5,5,4,4,5,5,"4,67",1157
12,7,5,4,5,4,4,3,5,4,4,"4,22",1157
12,8,5,4,4,4,4,4,4,4,4,"4,11",1157
12,9,5,4,5,5,4,4,4,5,5,"4,56",1157
12,10,5,4,5,4,5,4,4,5,5,"4,56",1157
12,11,5,4,4,4,4,4,4,5,5,"4,33",1157
12,12,5,4,4,4,4,4,4,4,5,"4,22",1157
12,13,4,4,4,4,4,4,4,4,4,"4,00",1157
12,14,4,3,4,4,3,3,4,4,4,"3,67",1157
12,15,5,4,5,5,4,4,5,5,5,"4,67",1157
12,16,5,4,5,5,5,4,5,5,5,"4,78",1157
13,1,5,5,5,4,4,4,4,5,4,"4,44",1146
13,2,5,5,5,4,4,4,4,5,4,"4,44",1146
13,3,5,5,5,4,4,4,4,5,4,"4,44",1146
13,4,5,5,5,5,4,4,5,5,5,"4,78",1146
13,5,4,5,4,4,4,5,5,4,4,"4,33",1146
13,6,4,5,4,4,4,5,5,4,4,"4,33",1146
13,7,5,5,5,5,5,5,5,5,5,"5,00",1146
13,8,5,5,5,5,4,5,5,4,4,"4,67",1146
13,9,4,5,5,4,4,5,4,4,4,"4,33",1146
13,10,5,5,5,5,4,5,5,5,5,"4,89",1146
13,11,4,5,5,5,4,5,5,4,4,"4,56",1146
13,12,5,5,5,5,4,5,5,5,4,"4,78",1146
13,13,5,5,5,5,4,5,5,5,5,"4,89",1146
13,14,5,5,5,4,4,5,5,4,4,"4,56",1146
13,15,5,5,5,5,5,5,5,5,5,"5,00",1146
13,16,5,5,5,4,5,5,5,4,5,"4,78",1146
14,1,5,5,5,4,5,4,5,4,4,"4,56",1123
14,2,4,4,5,4,4,5,5,5,5,"4,56",1123
14,3,4,4,5,3,4,3,5,5,4,"4,11",1123
14,4,4,3,5,5,3,4,4,4,4,"4,00",1123
14,5,5,5,5,5,5,5,5,5,5,"5,00",1123
14,6,5,3,4,4,3,4,4,4,4,"3,89",1123
14,7,5,4,4,4,5,5,5,5,4,"4,56",1123
14,8,4,3,5,3,3,2,4,4,3,"3,44",1123
14,9,4,4,3,4,4,3,4,4,3,"3,67",1123
14,10,5,4,5,4,4,5,4,4,4,"4,33",1123
14,11,4,4,5,4,4,4,5,4,4,"4,22",1123
14,12,5,4,5,4,3,3,4,4,4,"4,00",1123
14,13,5,5,5,4,4,5,3,4,4,"4,33",1123
14,14,5,4,5,4,5,4,4,5,5,"4,56",1123
14,15,5,4,4,5,4,5,5,4,4,"4,44",1123
14,16,5,4,5,3,4,4,4,4,4,"4,11",1123
15,1,4,4,5,4,5,5,5,4,5,"4,56",1103
15,2,4,4,5,4,5,5,4,5,4,"4,44",1103
15,3,4,4,5,4,4,5,5,4,4,"4,33",1103
15,4,5,4,5,5,5,5,5,4,5,"4,78",1103
15,5,5,5,5,5,5,5,4,4,5,"4,78",1103
15,6,5,5,5,5,5,5,5,4,5,"4,89",1103
15,7,5,5,5,5,5,5,5,5,5,"5,00",1103
15,8,5,4,5,5,5,5,5,5,5,"4,89",1103
15,9,5,5,5,5,5,5,4,5,4,"4,78",1103
15,10,5,5,5,5,5,5,5,5,5,"5,00",1103
15,11,5,5,5,5,5,5,5,5,4,"4,89",1103
15,12,5,5,5,5,5,5,5,4,5,"4,89",1103
15,13,5,5,5,5,5,5,5,5,4,"4,89",1103
15,14,5,4,5,5,5,5,5,5,5,"4,89",1103
15,15,5,5,5,5,5,5,5,5,5,"5,00",1103
15,16,5,5,5,5,5,5,4,4,5,"4,78",1103
16,1,5,4,5,4,4,3,5,5,4,"4,33",1078
16,2,5,4,5,5,4,3,5,5,4,"4,44",1078
16,3,5,4,5,4,3,3,5,5,4,"4,22",1078
16,4,5,4,5,5,4,4,5,5,4,"4,56",1078
16,5,5,5,5,5,4,4,5,5,4,"4,67",1078
16,6,5,4,5,5,4,4,5,4,4,"4,44",1078
16,7,5,5,5,5,4,5,5,5,5,"4,89",1078
16,8,5,4,5,5,4,4,5,5,4,"4,56",1078
16,9,5,5,5,5,5,5,5,5,4,"4,89",1078
16,10,5,5,5,5,5,5,5,5,5,"5,00",1078
16,11,5,5,5,5,5,5,5,5,5,"5,00",1078
16,12,5,5,5,5,5,5,5,5,5,"5,00",1078
16,13,5,5,5,5,5,5,5,4,5,"4,89",1078
16,14,5,4,5,5,5,4,5,5,5,"4,78",1078
16,15,5,5,5,5,4,5,5,5,5,"4,89",1078
16,16,5,5,5,5,5,5,5,5,5,"5,00",1078
